parameter,value,timestamp
Infrared,24,1550168835.308433
Visible,172,1550168835.308433
Full_Spectrum,197,1550168843.1493156
Infrared,24,1550168843.1493156
Visible,173,1550168843.1493156
Full_Spectrum,196,1550168851.26173
Infrared,24,1550168851.26173
Visible,172,1550168851.26173
Full_Spectrum,196,1550168856.4360409
Infrared,24,1550168856.4360409
Visible,172,1550168856.4360409
Full_Spectrum,196,1550168856.9205918
Infrared,24,1550168856.9205918
Visible,172,1550168856.9205918
Full_Spectrum,196,1550168861.135062
Infrared,24,1550168861.135062
Visible,172,1550168861.135062
Full_Spectrum,196,1550168865.8089418
Infrared,24,1550168865.8089418
Visible,172,1550168865.8089418
Full_Spectrum,196,1550168873.9807093
Infrared,24,1550168873.9807093
Visible,172,1550168873.9807093
Full_Spectrum,196,1550168882.0620198
Infrared,24,1550168882.0620198
Visible,172,1550168882.0620198
Full_Spectrum,196,1550168887.234035
Infrared,24,1550168887.234035
Visible,172,1550168887.234035
Full_Spectrum,196,1550168887.819654
Infrared,24,1550168887.819654
Visible,172,1550168887.819654
Full_Spectrum,196,1550168896.6474783
Infrared,24,1550168896.6474783
Visible,172,1550168896.6474783
Full_Spectrum,196,1550168891.9289575
Infrared,24,1550168891.9289575
Visible,172,1550168891.9289575
Full_Spectrum,196,1550168904.7809334
Infrared,24,1550168904.7809334
Visible,172,1550168904.7809334
Full_Spectrum,196,1550168912.946033
Infrared,24,1550168912.946033
Visible,172,1550168912.946033
Full_Spectrum,196,1550168918.0452034
Infrared,24,1550168918.0452034
Visible,172,1550168918.0452034
Full_Spectrum,196,1550168918.6729212
Infrared,24,1550168918.6729212
Visible,172,1550168918.6729212
Full_Spectrum,196,1550168923.9242992
Infrared,24,1550168923.9242992
Visible,172,1550168923.9242992
Full_Spectrum,196,1550168927.4589427
Infrared,24,1550168927.4589427
Visible,172,1550168927.4589427
Full_Spectrum,196,1550168935.5662305
Infrared,24,1550168935.5662305
Visible,172,1550168935.5662305
Full_Spectrum,196,1550168943.799904
Infrared,24,1550168943.799904
Visible,172,1550168943.799904
Full_Spectrum,195,1550168948.9623687
Infrared,24,1550168948.9623687
Visible,171,1550168948.9623687
Full_Spectrum,197,1550168949.5321622
Infrared,24,1550168949.5321622
Visible,173,1550168949.5321622
Full_Spectrum,196,1550168954.7128694
Infrared,24,1550168954.7128694
Visible,172,1550168954.7128694
Full_Spectrum,196,1550168958.2730935
Infrared,24,1550168958.2730935
Visible,172,1550168958.2730935
Full_Spectrum,196,1550168966.4173663
Infrared,24,1550168966.4173663
Visible,172,1550168966.4173663
Full_Spectrum,196,1550168974.6296473
Infrared,24,1550168974.6296473
Visible,172,1550168974.6296473
Full_Spectrum,195,1550168979.7476554
Infrared,24,1550168979.7476554
Visible,171,1550168979.7476554
Full_Spectrum,197,1550168980.3661227
Infrared,24,1550168980.3661227
Visible,173,1550168980.3661227
Full_Spectrum,195,1550168985.5231013
Infrared,24,1550168985.5231013
Visible,171,1550168985.5231013
Full_Spectrum,195,1550168989.81494
Infrared,24,1550168989.81494
Visible,171,1550168989.81494
Full_Spectrum,196,1550168997.2429807
Infrared,24,1550168997.2429807
Visible,172,1550168997.2429807
Full_Spectrum,196,1550169005.484545
Infrared,24,1550169005.484545
Visible,172,1550169005.484545
Full_Spectrum,195,1550169003.3824985
Infrared,24,1550169003.3824985
Visible,171,1550169003.3824985
Full_Spectrum,195,1550169010.6720037
Infrared,24,1550169010.6720037
Visible,171,1550169010.6720037
Full_Spectrum,197,1550169011.2200158
Infrared,24,1550169011.2200158
Visible,173,1550169011.2200158
Full_Spectrum,195,1550169016.379563
Infrared,24,1550169016.379563
Visible,171,1550169016.379563
Full_Spectrum,195,1550169020.687392
Infrared,24,1550169020.687392
Visible,171,1550169020.687392
Full_Spectrum,196,1550169028.1386611
Infrared,24,1550169028.1386611
Visible,172,1550169028.1386611
Full_Spectrum,196,1550169035.37441
Infrared,24,1550169035.37441
Visible,172,1550169035.37441
Full_Spectrum,196,1550169036.4939284
Infrared,24,1550169036.4939284
Visible,172,1550169036.4939284
Full_Spectrum,195,1550169041.466881
Infrared,24,1550169041.466881
Visible,171,1550169041.466881
Full_Spectrum,197,1550169041.9895117
Infrared,24,1550169041.9895117
Visible,173,1550169041.9895117
Full_Spectrum,196,1550169047.1525795
Infrared,24,1550169047.1525795
Visible,172,1550169047.1525795
Full_Spectrum,195,1550169051.469077
Infrared,24,1550169051.469077
Visible,171,1550169051.469077
Full_Spectrum,196,1550169059.305782
Infrared,24,1550169059.305782
Visible,172,1550169059.305782
Full_Spectrum,196,1550169066.1909006
Infrared,24,1550169066.1909006
Visible,172,1550169066.1909006
Full_Spectrum,196,1550169067.2695732
Infrared,24,1550169067.2695732
Visible,172,1550169067.2695732
Full_Spectrum,195,1550169072.2611682
Infrared,24,1550169072.2611682
Visible,171,1550169072.2611682
Full_Spectrum,197,1550169072.7581387
Infrared,24,1550169072.7581387
Visible,173,1550169072.7581387
Full_Spectrum,195,1550169077.9867294
Infrared,24,1550169077.9867294
Visible,171,1550169077.9867294
Full_Spectrum,195,1550169082.2857738
Infrared,24,1550169082.2857738
Visible,171,1550169082.2857738
Full_Spectrum,194,1550169091.1994185
Infrared,24,1550169091.1994185
Visible,170,1550169091.1994185
